Time,Q1,Q2,Q3,Q4,Q5,Q6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,x,y,z,xdot,ydot,zdot,FT1,FT2,FT3,FT4,FT5,FT6,handle_pos1,handle_pos2,mag11, mag12, mag21,mag22,f1,f2, dxl_pos1, dxl_pos2
22:35:23:440929,-0.0160745,-0.463018,1.30252,-0.00624828,1.36212,2.34213,-0.0283526,0.0179711,-0.0835321,0.000532455,0.101327,-0.0290802,0.458751,-0.00880993,0.219017,0.000170353,-0.01292,0.0331799,-1.77,-1.05,-8.45,0.577,0.0600001,-0.0999999,0.0062,0.0014,0.020862,0.00846195,0.0160782,0.0132782,-5.7704,-1.10092,951,952
22:35:23:446046,-0.0161443,-0.463018,1.30207,-0.00624828,1.36249,2.34201,-0.0295455,0.0201309,-0.0832587,0.00055729,0.103207,-0.0302895,0.458823,-0.00884321,0.219154,-0.000417999,-0.0134548,0.0340848,-1.77,-1.05,-8.45,0.577,0.0600001,-0.0999999,0.0062,0.0014,0.020862,0.00846195,0.0160782,0.0132782,-5.7704,-1.10092,951,952
22:35:23:451160,-0.016249,-0.463001,1.30165,-0.00624828,1.363,2.34187,-0.0307086,0.022196,-0.0828268,0.000578472,0.104832,-0.0314667,0.45887,-0.00887613,0.21929,-0.000991963,-0.0139763,0.0348991,-1.75,-1.33,-8.55,0.557,0.0270001,-0.0769999,0.0062,0.0014,0.020862,0.00846195,0.0160782,0.0132782,-5.7704,-1.10092,951,952
22:35:23:456157,-0.0163363,-0.463001,1.30125,-0.00624828,1.36368,2.34173,-0.0318254,0.024608,-0.0817556,0.000593541,0.106166,-0.0325944,0.458873,-0.00892439,0.219423,-0.00169193,-0.0144744,0.03568,-1.75,-1.33,-8.55,0.557,0.0270001,-0.0769999,0.0062,0.0014,0.020862,0.00846195,0.0160782,0.0132782,-5.7704,-1.10092,951,952
22:35:23:461286,-0.0164759,-0.463001,1.30081,-0.00624828,1.3645,2.3416,-0.0329142,0.0269245,-0.0805696,0.000600604,0.10729,-0.0336913,0.458828,-0.00896394,0.219542,-0.00237315,-0.01496,0.0363831,-1.77,-1.89,-8.44,0.597,0.0470001,-0.0869999,0.0063,0.0014,0.020962,0.00836195,0.0160782,0.0132782,-5.8958,-1.10092,951,952
22:35:23:466461,-0.0166504,-0.462983,1.30032,-0.00624828,1.36506,2.34146,-0.0340084,0.0299194,-0.0779205,0.000602353,0.107629,-0.0347876,0.458761,-0.00902716,0.219671,-0.00331498,-0.0154437,0.0369574,-1.77,-1.89,-8.44,0.597,0.0470001,-0.0869999,0.0062,0.0014,0.020862,0.00846195,0.0160782,0.0132782,-5.7704,-1.10092,951,952
22:35:23:471451,-0.016825,-0.462966,1.29983,-0.00624828,1.36534,2.34132,-0.035076,0.0328038,-0.0752467,0.000614777,0.107833,-0.0358588,0.45877,-0.00910759,0.219825,-0.00423307,-0.0159152,0.0374744,-1.8,-0.189999,-8.57,0.603,0.111,-0.0829999,0.0062,0.0014,0.020862,0.00846195,0.0160782,0.0132782,-5.7704,-1.10092,951,952
22:35:23:476452,-0.017017,-0.462949,1.29947,-0.00624828,1.36567,2.34115,-0.0361193,0.0331663,-0.0764937,0.000639108,0.109436,-0.0369165,0.458847,-0.00918907,0.21998,-0.00428015,-0.0163901,0.038016,-1.8,-0.189999,-8.57,0.603,0.111,-0.0829999,0.0062,0.0013,0.0208782,0.00847823,0.0159782,0.0133782,-5.75464,-1.02099,952,952
22:35:23:481563,-0.0172089,-0.462914,1.29914,-0.00624828,1.36617,2.34096,-0.0371371,0.0335055,-0.0775976,0.000656692,0.110873,-0.0379464,0.458875,-0.00927776,0.220098,-0.00432628,-0.0168531,0.0385033,-2.69,3.25,-8.58,0.38,0.201,-0.0479999,0.0063,0.0013,0.020862,0.00846195,0.0159782,0.0133782,-5.7704,-1.02099,951,952
22:35:23:486688,-0.0173835,-0.462861,1.2988,-0.00624828,1.36687,2.34077,-0.0390439,0.0288017,-0.0863171,0.000682201,0.114877,-0.0398826,0.45885,-0.00936562,0.220213,-0.00265123,-0.0177506,0.0389726,-2.69,3.25,-8.58,0.38,0.201,-0.0479999,0.0063,0.0013,0.020962,0.00836195,0.0159782,0.0133782,-5.8958,-1.02099,951,952
22:35:23:491688,-0.0175406,-0.462774,1.2984,-0.00624828,1.36774,2.34054,-0.0409018,0.0241857,-0.0947438,0.000698765,0.118676,-0.0417668,0.458779,-0.0094447,0.220335,-0.00101668,-0.0186257,0.0393945,-2.79,1.21,-8.89,0.452,0.111,-0.0319998,0.0063,0.0013,0.020962,0.00836195,0.0159782,0.0133782,-5.8958,-1.02099,951,952
22:35:23:496799,-0.0176976,-0.462704,1.29797,-0.00624828,1.36836,2.34031,-0.0428577,0.0227003,-0.0987366,0.00071047,0.121172,-0.04374,0.458686,-0.00951543,0.220494,-0.000443147,-0.0195273,0.039916,-2.79,1.21,-8.89,0.452,0.111,-0.0319998,0.0063,0.0013,0.020962,0.00836195,0.0159782,0.0133782,-5.8958,-1.02099,951,952
22:35:23:501808,-0.0178722,-0.462652,1.29751,-0.00624828,1.36872,2.34005,-0.0447636,0.0212221,-0.102543,0.000732784,0.123488,-0.0456641,0.458667,-0.00958735,0.220656,0.000116614,-0.0204062,0.0403854,-0.999999,-0.790001,-9.14,0.468,0.141,-0.03,0.0063,0.0013,0.020962,0.00836195,0.0159782,0.0133782,-5.8958,-1.02099,951,952
22:35:23:506920,-0.0180642,-0.462617,1.29708,-0.00624828,1.36916,2.33981,-0.0446937,0.0227803,-0.101928,0.000739087,0.124431,-0.045601,0.458711,-0.00966834,0.220816,-0.000339119,-0.0203668,0.0409146,-0.999999,-0.790001,-9.14,0.468,0.141,-0.03,0.0062,0.0013,0.020862,0.00846195,0.0159782,0.0133782,-5.7704,-1.02099,951,952
