Time,Q1,Q2,Q3,Q4,Q5,Q6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,x,y,z,xdot,ydot,zdot,FT1,FT2,FT3,FT4,FT5,FT6,handle_pos1,handle_pos2,mag11, mag12, mag21,mag22,f1,f2, dxl_pos1, dxl_pos2
22:33:27:452809,-0.518869,-0.16366,1.66702,3.49066e-05,1.29271,1.83848,0.0373717,0.0590321,0.0518399,-0.000708874,0.00719096,0.0375603,0.309352,-0.176736,0.23198,-0.0106856,0.0212513,0.00549308,5.25,-2.83,-1.23,-0.00400001,-0.157,0.0999999,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:457929,-0.518677,-0.163328,1.66735,3.49066e-05,1.29271,1.83865,0.0381497,0.060588,0.0536073,-0.000722239,0.00697946,0.0383419,0.30928,-0.176608,0.231989,-0.0110384,0.0217582,0.0055127,5.25,-2.83,-1.23,-0.00400001,-0.157,0.0999999,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:463055,-0.518485,-0.162979,1.66759,3.49066e-05,1.29273,1.83883,0.0388521,0.0619881,0.0551942,-0.000735546,0.00679258,0.0390478,0.309214,-0.176492,0.232008,-0.0113559,0.0222143,0.00553035,5.09,-4.37,-0.679999,0.187,-0.0749999,0.053,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:467930,-0.518328,-0.162647,1.66777,3.49066e-05,1.29277,1.83898,0.0382062,0.0647685,0.0594038,-0.000726761,0.00536334,0.0383995,0.309169,-0.176388,0.232059,-0.0124074,0.0225431,0.00525954,5.09,-4.37,-0.679999,0.187,-0.0749999,0.053,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:473053,-0.518153,-0.162316,1.66794,3.49066e-05,1.2928,1.83912,0.0376246,0.0672716,0.0631915,-0.000720458,0.00407894,0.0378161,0.309133,-0.176303,0.232124,-0.0133538,0.0228391,0.00501543,3.18,-2.45,-1.36,0.103,0.046,0.0649998,0.0019,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:478167,-0.517996,-0.162001,1.66819,3.49066e-05,1.29287,1.83928,0.0360924,0.0661851,0.0613818,-0.000695715,0.00480211,0.0362773,0.309101,-0.176213,0.23219,-0.0132523,0.0221526,0.00515949,3.18,-2.45,-1.36,0.103,0.046,0.0649998,0.0019,0,0.00683071,0.00303071,0.00501208,0.00501208,-7.75477,0,353,358
22:33:27:483172,-0.517822,-0.161687,1.66848,3.49066e-05,1.29289,1.83945,0.0347135,0.0652078,0.0597533,-0.000669117,0.00545338,0.0348913,0.309039,-0.176113,0.232228,-0.013161,0.0215347,0.00528915,2.53,-1.31,-1.78,-0.071,-0.013,0.103,0.0019,0,0.00683071,0.00303071,0.00501208,0.00501208,-7.75477,0,353,358
22:33:27:488301,-0.51763,-0.161338,1.66885,3.49066e-05,1.29289,1.83961,0.0334721,0.062682,0.0555713,-0.00064521,0.00710951,0.0336436,0.308976,-0.176006,0.232251,-0.0125127,0.020655,0.00562797,2.53,-1.31,-1.78,-0.071,-0.013,0.103,0.0019,0,0.00681444,0.00301444,0.00501208,0.00501208,-7.77602,0,352,358
22:33:27:493292,-0.517473,-0.160989,1.66922,3.49066e-05,1.29291,1.83979,0.0323576,0.0604084,0.051804,-0.000623154,0.00860333,0.0325233,0.308901,-0.175885,0.232266,-0.0119293,0.0198632,0.00593293,3.47,-2.02,-1.17,0.00300002,-0.127,0.072,0.0019,0,0.00683071,0.00303071,0.00501208,0.00501208,-7.75477,0,353,358
22:33:27:498428,-0.517298,-0.160623,1.66955,3.49066e-05,1.29291,1.83993,0.0320186,0.0596159,0.0509731,-0.000615461,0.00864176,0.0321822,0.308815,-0.175772,0.23228,-0.0117536,0.0196182,0.00589251,3.47,-2.02,-1.17,0.00300002,-0.127,0.072,0.002,0,0.00693071,0.00293071,0.00501208,0.00501208,-8.17782,0,353,358
